epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,97.8596,1.52764,1.41811,1.47871,0.77223,0.716,0.72925,0.47261,1.37076,1.27896,1.25005,0.000663805,0.000663805,0.000663805
2,173.654,1.53174,1.39746,1.4622,0.72673,0.70208,0.68715,0.43837,1.33913,1.36262,1.23308,0.00124266,0.00124266,0.00124266
3,249.882,1.54876,1.38525,1.45588,0.81845,0.684,0.73563,0.45843,1.49993,1.3106,1.30106,0.00173352,0.00173352,0.00173352
4,325.108,1.50367,1.36688,1.42987,0.61182,0.71873,0.62218,0.34819,1.55531,1.43352,1.38275,0.001604,0.001604,0.001604
5,400.188,1.4852,1.35531,1.40957,0.80279,0.684,0.71335,0.43872,1.42674,1.32947,1.27686,0.001472,0.001472,0.001472
6,469.753,1.40612,1.3798,1.46484,0.82073,0.696,0.69894,0.44328,1.34419,1.26042,1.27939,0.00134,0.00134,0.00134
7,539.524,1.34842,1.31077,1.42675,0.79848,0.72908,0.7159,0.47792,1.28936,1.25268,1.21428,0.001208,0.001208,0.001208
8,623.086,1.28632,1.25168,1.38444,0.80632,0.71607,0.71675,0.49419,1.21656,1.17358,1.17302,0.001076,0.001076,0.001076
9,692.481,1.26336,1.19443,1.37627,0.806,0.708,0.72355,0.49104,1.19889,1.13545,1.15551,0.000944,0.000944,0.000944
10,762.021,1.22844,1.17895,1.35542,0.81687,0.728,0.72774,0.49316,1.16676,1.15993,1.16156,0.000812,0.000812,0.000812
11,831.685,1.20634,1.15976,1.34112,0.83972,0.728,0.7523,0.5351,1.15299,1.08367,1.12031,0.00068,0.00068,0.00068
12,901.358,1.16169,1.11987,1.31503,0.84909,0.724,0.76316,0.55238,1.07537,1.044,1.07739,0.000548,0.000548,0.000548
13,971.06,1.11734,1.07702,1.29515,0.8846,0.70521,0.77376,0.54794,1.10896,1.02418,1.09555,0.000416,0.000416,0.000416
14,1040.48,1.09906,1.04949,1.27813,0.87481,0.732,0.78049,0.55639,1.06842,1.03397,1.08385,0.000284,0.000284,0.000284
15,1109.62,1.06691,1.0292,1.2687,0.8885,0.724,0.77691,0.55737,1.06508,0.99963,1.08729,0.000152,0.000152,0.000152
