epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.0775,1.18945,1.06665,1.31559,0.89262,0.67033,0.74528,0.50235,1.18223,1.16414,1.27757,0.000663366,0.000663366,0.000663366
2,90.5571,1.27171,1.12137,1.35243,0.82103,0.68056,0.72084,0.4738,1.1787,1.18582,1.29368,0.00124225,0.00124225,0.00124225
3,130.52,1.30152,1.16499,1.37317,0.77167,0.6778,0.71708,0.43774,1.30083,1.26108,1.34817,0.00173314,0.00173314,0.00173314
4,170.816,1.30583,1.16528,1.37008,0.80071,0.65385,0.6996,0.43425,1.32108,1.28423,1.35451,0.001604,0.001604,0.001604
5,213.825,1.28377,1.13868,1.35343,0.83498,0.68115,0.7236,0.45945,1.22847,1.22799,1.29919,0.001472,0.001472,0.001472
6,258.601,1.22862,1.19256,1.38908,0.85629,0.67117,0.74151,0.46673,1.27303,1.21993,1.35934,0.00134,0.00134,0.00134
7,300.765,1.23149,1.16246,1.38585,0.81715,0.6978,0.72095,0.49599,1.1919,1.18596,1.2923,0.001208,0.001208,0.001208
8,339.315,1.16959,1.12843,1.34428,0.8439,0.68956,0.74662,0.51044,1.18265,1.16385,1.26679,0.001076,0.001076,0.001076
9,378.002,1.14119,1.09468,1.32928,0.80183,0.70055,0.74126,0.51038,1.12612,1.09776,1.23454,0.000944,0.000944,0.000944
10,416.203,1.12818,1.06061,1.32534,0.83391,0.70347,0.76007,0.54528,1.08846,1.05715,1.2292,0.000812,0.000812,0.000812
11,454.711,1.08624,1.02796,1.30125,0.8387,0.72527,0.76918,0.54674,1.06146,1.06157,1.22034,0.00068,0.00068,0.00068
12,493.174,1.05729,1.02233,1.2888,0.86647,0.70604,0.77517,0.56484,1.04798,1.03495,1.16675,0.000548,0.000548,0.000548
13,531.327,1.04827,0.99864,1.27493,0.87299,0.67857,0.78096,0.57487,1.00469,0.99583,1.17081,0.000416,0.000416,0.000416
14,569.869,1.02772,0.96568,1.27016,0.86333,0.71154,0.78251,0.57098,1.00143,0.98685,1.16563,0.000284,0.000284,0.000284
15,609.342,0.98885,0.93136,1.24701,0.8288,0.71429,0.78277,0.57744,0.98007,0.98558,1.15082,0.000152,0.000152,0.000152
