epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.4065,3.85409,4.59024,3.42285,0.20095,0.108,0.07048,0.02002,3.24502,3.55863,2.50494,0.000663805,0.000663805,0.000663805
2,169.128,2.91747,3.01711,2.59212,0.26585,0.136,0.11486,0.03178,2.91254,2.79552,2.40417,0.00119876,0.00119876,0.00119876
3,241.637,2.70464,2.53214,2.42513,0.17821,0.276,0.18778,0.05816,2.59539,2.40388,2.14261,0.00160171,0.00160171,0.00160171
4,313.835,2.44186,2.33792,2.2888,0.33944,0.572,0.35479,0.12018,2.2334,2.17102,1.97277,0.001406,0.001406,0.001406
5,386.203,2.25424,2.19673,2.13672,0.43992,0.524,0.38172,0.15294,2.05648,1.99141,1.74444,0.001208,0.001208,0.001208
6,458.406,2.10047,2.07026,2.02049,0.55627,0.54156,0.51942,0.19454,2.02449,1.93025,1.70982,0.00101,0.00101,0.00101
7,536.637,1.97399,1.95437,1.91068,0.59319,0.59494,0.57078,0.23904,1.87583,1.73097,1.65759,0.000812,0.000812,0.000812
8,617.839,1.87847,1.84548,1.84219,0.66741,0.636,0.6149,0.28998,1.82606,1.66304,1.59997,0.000614,0.000614,0.000614
9,689.619,1.78645,1.75154,1.78612,0.7229,0.62611,0.64358,0.33969,1.65784,1.60353,1.55157,0.000416,0.000416,0.000416
10,761.758,1.70242,1.67831,1.73024,0.73453,0.664,0.66276,0.37342,1.62787,1.52657,1.50331,0.000218,0.000218,0.000218
